50	30
50	60
50	90
50	120
50	150
50	180
50	210
50	240
50	270
100	30
100	60
100	90
100	120
100	150
100	180
100	210
100	240
100	270
150	30
150	60
150	90
150	120
150	150
150	180
150	210
150	240
150	270
200	30
200	60
200	90
200	120
200	150
200	180
200	210
200	240
200	270
250	30
250	60
250	90
250	120
250	150
250	180
250	210
250	240
250	270
300	30
300	60
300	90
300	120
300	150
300	180
300	210
300	240
300	270
350	30
350	60
350	90
350	120
350	150
350	180
350	210
350	240
350	270
400	30
400	60
400	90
400	120
400	150
400	180
400	210
400	240
400	270
450	30
450	60
450	90
450	120
450	150
450	180
450	210
450	240
450	270
